RatID,DOB,Sex,Origin,Batch,DATE,AgeInDays,MeasuredBy,OD1,OD2,OD3,OS1,OS2,OS3,Note
00077E7819,2014-09-07,F,UTHSC,0,2014-12-03,87,WH,12,10,10,13,12,10,
00077E8EB8,2014-09-02,F,UTHSC,0,2014-12-03,92,WH,12,11,10,10,11,13,
00077E82E3,2014-09-02,F,UTHSC,0,2014-12-03,92,WH,10,12,13,10,11,11,
00077E8405,2014-09-08,F,UTHSC,0,2014-12-05,88,WH,8,9,10,8,8,8,
00077E838A,2014-09-07,F,UTHSC,0,2014-12-05,89,WH,10,10,10,10,10,10,
00077E84FA,2014-09-08,F,UTHSC,0,2014-12-05,88,WH,8,8,9,7,7,7,
00077E66B5,2014-09-07,F,UTHSC,0,2014-12-05,89,WH,7,7,8,8,8,8,
00077E7813,2014-08-31,M,UTHSC,0,2014-12-05,96,WH,8,10,10,9,8,9,
00077E7CEE,2014-09-14,M,UTHSC,0,2014-12-05,82,WH,10,10,12,10,10,10,
00077E8D54,2014-09-14,M,UTHSC,0,2014-12-05,82,WH,9,9,10,10,10,10,
00077E8F91,2014-08-31,M,UTHSC,0,2014-12-05,96,WH,10,10,9,12,12,11,
00077EAB54,2014-09-06,F,UTHSC,0,2014-12-05,90,WH,7,8,8,9,8,8,
00077E6656,2014-09-06,F,UTHSC,0,2014-12-05,90,WH,10,9,10,10,10,11,
00077E76FD,2014-09-07,M,UTHSC,0,2014-12-05,89,WH,10,10,9,9,9,8,
00077E7612,2014-09-07,M,UTHSC,0,2014-12-05,89,WH,9,9,8,12,10,10,
00077E7A46,2014-09-07,M,UTHSC,0,2014-12-05,89,WH,9,10,9,12,10,11,
00077EAC6B,2014-09-07,M,UTHSC,0,2014-12-05,89,WH,11,11,12,10,10,10,
00077EA8B7,2014-09-12,F,UTHSC,0,2014-12-05,84,WH,7,7,7,10,10,10,
00077EA92A,2014-09-12,M,UTHSC,0,2014-12-05,84,WH,8,9,8,10,10,9,
00077E9043,2014-09-06,M,UTHSC,0,2014-12-05,90,WH,11,11,10,10,9,10,
00077EA9CF,2014-09-12,M,UTHSC,0,2014-12-05,84,WH,9,10,10,7,9,7,
00077E8FC2,2014-09-14,M,UTHSC,0,2014-12-08,85,WH,13,13,12,10,10,10,
00077E65C7,2014-09-12,M,UTHSC,0,2014-12-08,87,WH,9,10,9,11,10,10,
00077E771B,2014-09-11,F,UTHSC,0,2014-12-08,88,WH,12,12,13,11,11,12,
00077E6704,2014-09-12,F,UTHSC,0,2014-12-08,87,WH,13,13,12,9,10,9,
00077E763D,2014-09-12,M,UTHSC,0,2014-12-08,87,WH,11,11,12,11,12,11,
00077E7666,2014-09-13,M,UTHSC,0,2014-12-08,86,WH,10,10,11,11,10,11,
00077E9BAF,2014-09-14,F,UTHSC,0,2014-12-08,85,WH,9,9,10,8,8,9,
00077E7C7E,2014-09-12,F,UTHSC,0,2014-12-08,87,WH,10,10,10,9,9,8,
0007216D57,2014-06-18,M,MCW,0,2014-12-09,174,TW,8,10,8,9,9,10,
000721B560,2014-06-17,M,MCW,0,2014-12-09,175,TW,12,11,13,21,19,20,
00071F95F9,2014-06-02,M,MCW,0,2014-12-09,190,TW,15,16,16,24,23,25,
000721611E,2014-06-02,M,MCW,0,2014-12-09,190,TW,22,22,23,23,24,22,
000721B264,2014-06-07,M,MCW,0,2014-12-09,185,TW,10,13,11,13,11,11,
000721A5FC,2014-06-05,F,MCW,0,2014-12-09,187,TW,11,12,12,12,13,13,
000721901D,2014-06-16,F,MCW,0,2014-12-09,176,TW,11,12,13,13,14,15,
000721A8E7,2014-06-06,M,MCW,0,2014-12-09,186,TW,16,17,18,14,15,16,
00072159BE,2014-06-17,M,MCW,0,2014-12-09,175,TW,9,9,10,11,12,11,
00071FB160,2014-06-20,M,MCW,0,2014-12-09,172,TW,15,14,14,9,10,10,
000721AD38,2014-06-14,M,MCW,0,2014-12-09,178,TW,10,11,12,9,9,11,
00077E9BC5,2014-09-14,F,UTHSC,0,2014-12-11,88,WH,13,13,12,12,11,13,
00077EABC8,2014-08-31,F,UTHSC,0,2014-12-11,102,WH,10,10,10,10,10,10,
00077E7924,2014-08-31,F,UTHSC,0,2014-12-11,102,WH,10,10,12,12,12,12,
00077E7B12,2014-09-14,F,UTHSC,0,2014-12-11,88,WH,10,10,10,10,9,10,
00077E813E,2014-09-22,F,UTHSC,0,2014-12-11,80,WH,11,11,10,10,10,9,
00077E7621,2014-09-13,F,UTHSC,0,2014-12-11,89,WH,10,9,9,9,8,8,
00077E9B3C,2014-09-08,F,UTHSC,0,2014-12-11,94,WH,10,10,10,10,10,10,
00077E75AC,2014-09-12,F,UTHSC,0,2014-12-11,90,WH,9,9,10,9,8,9,
00077E79C4,2014-09-12,M,UTHSC,0,2014-12-11,90,WH,9,10,9,8,8,9,
00077E7766,2014-09-08,M,UTHSC,0,2014-12-11,94,WH,10,10,11,12,12,11,
00077E7617,2014-09-11,M,UTHSC,0,2014-12-11,91,WH,11,12,11,10,12,11,
00077E7836,2014-09-13,M,UTHSC,0,2014-12-11,89,WH,9,9,9,10,9,10,
00077EA2BF,2014-09-10,F,UTHSC,0,2014-12-11,92,WH,10,9,10,10,11,10,
00077E66DC,2014-09-10,F,UTHSC,0,2014-12-11,92,WH,8,9,8,8,8,9,
00077E7966,2014-09-19,F,UTHSC,0,2014-12-11,83,WH,10,12,10,10,9,10,
00077E7AF5,2014-09-19,F,UTHSC,0,2014-12-11,83,WH,10,11,10,11,11,13,
00077E7B50,2014-09-13,F,UTHSC,0,2014-12-11,89,WH,10,10,10,9,8,9,
00077E82CD,2014-09-22,F,UTHSC,0,2014-12-11,80,WH,11,10,11,9,8,9,
00077E823D,2014-09-08,F,UTHSC,0,2014-12-11,94,WH,8,9,8,8,9,9,
00077E8296,2014-09-12,F,UTHSC,0,2014-12-11,90,WH,10,11,10,9,9,10,
00077E9994,2014-09-19,M,UTHSC,0,2014-12-15,87,WH,9,11,11,10,11,11,
00077E7856,2014-09-22,M,UTHSC,0,2014-12-15,84,WH,10,10,9,12,12,13,
00077E844E,2014-09-19,M,UTHSC,0,2014-12-15,87,WH,9,9,10,9,10,8,
00077E81A3,2014-09-22,M,UTHSC,0,2014-12-15,84,WH,10,11,10,10,11,10,
00077E78E5,2014-09-11,F,UTHSC,0,2014-12-15,95,WH,10,10,10,10,12,10,
00077E778D,2014-09-11,F,UTHSC,0,2014-12-15,95,WH,7,8,8,9,10,7,
000721584F,2014-06-14,M,MCW,0,2014-12-16,185,WH,11,11,11,10,12,11,
0007214858,2014-06-06,M,MCW,0,2014-12-16,193,WH,10,10,12,13,13,14,
00072140EF,2014-06-15,M,MCW,0,2014-12-16,184,WH,10,10,11,11,10,10,
00072159BF,2014-06-03,M,MCW,0,2014-12-16,196,WH,13,12,13,14,13,13,
00072149CA,2014-06-15,M,MCW,0,2014-12-16,184,WH,10,12,11,10,13,11,
000721AC83,2014-06-05,M,MCW,0,2014-12-16,194,WH,13,13,14,11,12,11,
00072165F2,2014-06-07,M,MCW,0,2014-12-16,192,WH,10,10,10,9,10,10,
0007213DF9,2014-06-04,M,MCW,0,2014-12-16,195,WH,10,9,10,12,12,13,
000721D272,2014-06-14,F,MCW,0,2014-12-17,186,WH,6,7,6,8,8,9,
00072136BA,2014-06-15,F,MCW,0,2014-12-17,185,WH,10,10,10,10,9,10,
00071F6771,2014-06-02,F,MCW,0,2014-12-17,198,WH,10,10,10,10,10,10,
00072151BB,2014-06-15,F,MCW,0,2014-12-17,185,WH,8,8,9,12,12,13,
0007214E22,2014-06-03,F,MCW,0,2014-12-17,197,WH,10,10,10,13,11,13,
000721C3F2,2014-06-16,F,MCW,0,2014-12-17,184,WH,12,12,14,10,9,9,
00077E6755,2014-09-10,M,UTHSC,0,2014-12-17,98,WH,10,10,10,10,9,10,
00077EADB8,2014-09-10,M,UTHSC,0,2014-12-17,98,WH,11,13,11,12,11,13,
00077E7669,2014-09-08,M,UTHSC,0,2014-12-17,100,WH,11,11,10,12,12,14,
00077E788F,2014-09-08,M,UTHSC,0,2014-12-17,100,WH,10,10,9,11,10,10,
00077E83BC,2014-09-08,M,UTHSC,0,2014-12-17,100,WH,10,9,10,13,11,13,
00077E7821,2014-09-12,M,UTHSC,0,2014-12-17,96,WH,11,12,11,13,13,12,
00077E81E2,2014-09-13,M,UTHSC,0,2014-12-17,95,WH,11,10,11,13,12,13,
00077E7793,2014-09-11,M,UTHSC,0,2014-12-17,97,WH,10,9,10,9,9,8,
00077E6638,2014-12-29,M,UTHSC,1,2015-03-17,78,TW,21,20,21,16.5,16,17,
00077E6708,2014-12-29,F,UTHSC,1,2015-03-17,78,TW,10,11,11,10,10,10,
00077E68B2,2015-01-12,M,UTHSC,1,2015-03-17,64,TW,15.5,15.5,14,14.5,15.5,15,
00077E68B5,2014-09-29,M,MCW,1,2015-03-17,169,TW,21.5,21.5,22,22,22,20.5,
00077E7584,2015-01-09,M,UTHSC,1,2015-03-17,67,TW,18,17.5,16.5,15.5,15,15,
00077E761F,2014-09-28,F,MCW,1,2015-03-17,170,TW,21.5,21,20,18,16.5,15.5,
00077E76E8,2015-01-12,F,UTHSC,1,2015-03-17,64,TW,16.5,17.5,17,15,14.5,14,
00077E76F5,2014-12-26,M,UTHSC,1,2015-03-17,81,TW,16,15.5,17,13.5,13.5,12.5,
00077E774B,2015-01-09,M,UTHSC,1,2015-03-17,67,TW,11,11,11,11.5,11.5,12,
00077E777E,2015-01-09,F,UTHSC,1,2015-03-17,67,TW,12.5,12.5,12,10,10.5,10,
00077E778C,2014-09-28,M,MCW,1,2015-03-17,170,TW,28,28.5,29,27.5,28,28,
00077E7800,2014-12-26,M,UTHSC,1,2015-03-17,81,TW,16.5,16,16,10,10,9.5,
00077E7876,2015-01-12,M,UTHSC,1,2015-03-17,64,TW,12,12,11.5,12,11.5,12,
00077E78B5,2014-12-26,M,UTHSC,1,2015-03-17,81,TW,16,16,16,11.5,11.5,11.5,
00077E78C8,2015-01-12,M,UTHSC,1,2015-03-17,64,TW,10.5,10,10,11.5,11,10,
00077E7930,2014-09-28,F,MCW,1,2015-03-17,170,TW,24,23,23.5,22,19,20,
00077E7A79,2014-12-26,F,UTHSC,1,2015-03-17,81,TW,10.5,10.5,12,10,10.5,10.5,
00077E7B2F,2014-12-29,M,UTHSC,1,2015-03-17,78,TW,14,14,13.5,15,15,15.5,
00077E7B73,2014-12-26,M,UTHSC,1,2015-03-17,81,TW,19.5,18.5,17,12,11.5,12.5,
00077E7C64,2014-12-29,M,UTHSC,1,2015-03-17,78,TW,17,17,17,14,13.5,13.5,
00077E7CBD,2014-12-29,F,UTHSC,1,2015-03-17,78,TW,12,12,12,10,10,12,
00077E7CF6,2014-12-26,F,UTHSC,1,2015-03-17,81,TW,12.5,14,11.5,13,13,12,
00077E8154,2014-12-26,F,UTHSC,1,2015-03-17,81,TW,17.5,18,18,15,14,15,
00077E8162,2014-12-29,F,UTHSC,1,2015-03-17,78,TW,17,16.5,17,14,13,12.5,
00077E81C8,2014-09-26,F,MCW,1,2015-03-17,172,TW,17.5,18,18,14.5,14.5,15,
00077E81E8,2014-09-28,M,MCW,1,2015-03-17,170,TW,19,20,19,17,15,16,
00077E827B,2014-12-29,M,UTHSC,1,2015-03-17,78,TW,11.5,12.5,12,10.5,11,11,
00077E827F,2014-12-26,F,UTHSC,1,2015-03-17,81,TW,14.5,14,14.5,13.5,13.5,13,
00077E8449,2015-01-12,F,UTHSC,1,2015-03-17,64,TW,13,13,12.5,13,13,13.5,
00077E8E7A,2015-01-12,M,UTHSC,1,2015-03-17,64,TW,16,15.5,16,13,14.5,13.5,
00077E9082,2014-12-26,M,UTHSC,1,2015-03-17,81,TW,12,11,12,9.5,10.5,10.5,
00077E90E5,2015-01-12,F,UTHSC,1,2015-03-17,64,TW,14,14.5,14.5,14,14,13.5,
00077E9442,2014-12-26,F,UTHSC,1,2015-03-17,81,TW,11,11,11.5,12,11.5,11.5,
00077E95CF,2014-12-29,F,UTHSC,1,2015-03-17,78,TW,10,10.5,10,12.5,12,12,
00077E9961,2014-12-26,M,UTHSC,1,2015-03-17,81,TW,14.5,15,16,11.5,11.5,11,
00077E9C75,2014-09-29,M,MCW,1,2015-03-17,169,TW,21,20,21,20,18.5,19,
00077E9DAF,2014-09-21,F,MCW,1,2015-03-17,177,TW,18.5,20,20.5,15,15,14.5,
00077E9DD3,2014-09-20,F,MCW,1,2015-03-17,178,TW,18.5,18,16.5,16.5,17.5,17,
00077E9DFD,2014-09-20,F,MCW,1,2015-03-17,178,TW,10,10,11,16,18,16,
00077E9F33,2014-09-23,F,MCW,1,2015-03-17,175,TW,11,12,12.5,11,11.5,11,
00077E9F3C,2014-09-22,F,MCW,1,2015-03-17,176,TW,12.5,13.5,13.5,17.5,16.5,16,
00077E9F7F,2014-09-23,F,MCW,1,2015-03-17,175,TW,19,20.5,18,18,18.5,17.5,
00077EA036,2014-09-23,F,MCW,1,2015-03-17,175,TW,13.5,12.5,12.5,17.5,18,17,
00077EA058,2014-09-29,F,MCW,1,2015-03-17,169,TW,17,17.5,16.5,16,17,18,
00077EA0B9,2014-09-29,F,MCW,1,2015-03-17,169,TW,17.5,18,17,20.5,21,20.5,
00077EA12F,2014-09-22,F,MCW,1,2015-03-17,176,TW,17.5,16.5,16,15.5,14.5,13,
00077EA232,2014-09-29,F,MCW,1,2015-03-17,169,TW,12,12.5,13,19.5,18.5,18.5,
00077EA240,2014-09-24,F,MCW,1,2015-03-17,174,TW,14.5,15,14.5,16,16.5,17.5,
00077EA250,2014-09-20,F,MCW,1,2015-03-17,178,TW,18.5,17.5,18,12.5,13,13.5,
00077EA31C,2014-09-23,F,MCW,1,2015-03-17,175,TW,21,20.5,20.5,18,18,18,
00077EA37F,2014-09-22,M,MCW,1,2015-03-17,176,TW,24,24,22,28,26,27,
00077EA3C1,2014-09-21,F,MCW,1,2015-03-17,177,TW,18.5,18.5,20,20,21,20,
00077EA3DE,2014-09-26,F,MCW,1,2015-03-17,172,TW,15.5,16,16,15,15,16,
00077EA876,2014-12-29,M,UTHSC,1,2015-03-17,78,TW,13,13.5,13,12.5,12.5,11,
00077EA942,2015-01-12,F,UTHSC,1,2015-03-17,64,TW,13.5,13,13,10,10,9.5,
00077EA965,2015-01-12,F,UTHSC,1,2015-03-17,64,TW,16,17,17.5,13,13.5,13.5,
00077EA9AC,2014-09-27,F,MCW,1,2015-03-17,171,TW,16,15.5,16,17.5,18,18.5,
00077EA9F4,2014-12-29,F,UTHSC,1,2015-03-17,78,TW,15,15,15,14.5,14,15,
00077EAA7D,2014-09-29,M,MCW,1,2015-03-17,169,TW,28,28.5,25.5,27.5,26,27,
00077EAAB0,2015-01-12,F,UTHSC,1,2015-03-17,64,TW,14,14,14.5,11,9.5,9.5,
00077EAB3E,2014-09-22,F,MCW,1,2015-03-17,176,TW,15,14.5,13.5,12.5,12.5,13.5,
00077EABDF,2014-09-23,F,MCW,1,2015-03-17,175,TW,16.5,15.5,16,16.5,15.5,18,
00077EABE3,2014-09-30,M,MCW,1,2015-03-17,168,TW,25,25,25.5,23,23,25,
00077EAFBD,2015-01-12,M,UTHSC,1,2015-03-17,64,TW,15,14.5,14,14.5,14,13.5,
00077E7676,2015-01-28,M,UTHSC,1,2015-04-03,65,TW,10,10,10,13,13,13,
00077E78A5,2015-01-28,F,UTHSC,1,2015-04-03,65,TW,12,12,12,10,10,10,
00077E79A2,2015-01-28,M,UTHSC,1,2015-04-03,65,TW,10,10,10,17,15,15,
00077E79F7,2015-01-21,M,UTHSC,1,2015-04-03,72,TW,12,10,10,10,9,10,
00077E7A13,2015-01-28,F,UTHSC,1,2015-04-03,65,TW,10,10,12,10,9,9,
00077E836B,2015-01-21,F,UTHSC,1,2015-04-03,72,TW,10,10,10,10,10,10,
00077E840A,2015-01-21,M,UTHSC,1,2015-04-03,72,TW,19,18,19,18,18,18,
00077E84BB,2015-01-21,F,UTHSC,1,2015-04-03,72,TW,17,16,17,14,15,15,
00077E9AA2,2015-01-21,F,UTHSC,1,2015-04-03,72,TW,10,11,10,10,10,10,
00077EA056,2014-09-23,M,MCW,1,2015-04-03,192,TW,15,16,16,18,16,17,
00077EA2B4,2014-09-29,M,MCW,1,2015-04-03,186,TW,12,12,13,14,15,14,
00077EA36D,2014-09-26,F,MCW,1,2015-04-03,189,TW,15,15,14,18,17,19,
00077EAB25,2015-01-28,M,UTHSC,1,2015-04-03,65,TW,11,13,12,10,10,10,
00077EAB63,2015-01-28,F,UTHSC,1,2015-04-03,65,TW,12,13,13,13,12,12,
00077EABCC,2014-09-29,F,MCW,1,2015-04-03,186,TW,21,21,21,21,22,21,
00077EABFC,2015-01-28,M,UTHSC,1,2015-04-03,65,TW,16,15,15,11,10,9,
00077EAC8E,2015-01-28,M,UTHSC,1,2015-04-03,65,TW,13,14,10,10,10,12,
00078A00A5,2015-01-30,M,UTHSC,1,2015-04-03,63,TW,12,13,11,15,15,14,
00078A01E0,2015-01-29,M,UTHSC,1,2015-04-03,64,TW,11,11,11,10,12,12,
00078A1703,2015-01-31,M,UTHSC,1,2015-04-03,62,TW,10,11,11,10,10,10,
00078A1714,2015-01-30,F,UTHSC,1,2015-04-03,63,TW,16,16,15,11,10,10,
00078A1821,2015-01-30,M,UTHSC,1,2015-04-03,63,TW,12,10,10,10,10,10,
00078A1B16,2015-01-30,F,UTHSC,1,2015-04-03,63,TW,12,11,10,12,11,10,
00078A1B6D,2015-01-29,M,UTHSC,1,2015-04-03,64,TW,11,10,11,11,10,10,
00078A1BEF,2015-01-31,F,UTHSC,1,2015-04-03,62,TW,12,11,11,10,10,10,
00078A1C74,2015-01-31,F,UTHSC,1,2015-04-03,62,TW,11,10,10,12,13,13,
00078A1C90,2015-01-31,M,UTHSC,1,2015-04-03,62,TW,10,10,9,9,8,9,
00078A1C9F,2015-01-29,F,UTHSC,1,2015-04-03,64,TW,13,13,12,11,11,11,
00077E663F,2015-01-09,F,MCW,2,2015-05-04,115,TW,10,10,10,13,11,13,
00077E79E8,2015-01-05,F,MCW,2,2015-05-04,119,TW,10,10,11,11,11,11,
00077E7BCD,2015-03-04,F,UTHSC,1,2015-05-04,61,TW,10,10,9,8,9,9,
00077EA390,2015-01-11,M,MCW,2,2015-05-04,113,TW,12,13,13,13,14,15,
00077EA3A3,2015-01-11,F,MCW,2,2015-05-04,113,TW,10,10,10,11,10,12,
00077EA4D9,2015-01-11,M,MCW,2,2015-05-04,113,TW,15,17,15,15,17,17,
00077EA92C,2015-01-05,M,MCW,2,2015-05-04,119,TW,14,14,15,14,15,16,
00077EACA8,2015-01-11,F,MCW,2,2015-05-04,113,TW,15,15,14,15,14,16,
00077EADBA,2015-01-09,M,MCW,2,2015-05-04,115,TW,16,15,16,18,19,19,
000789FFAD,2015-02-21,F,UTHSC,1,2015-05-04,72,TW,13,14,14,17,16,15,
00078A050C,2015-02-21,F,UTHSC,1,2015-05-04,72,TW,12,12,13,15,12,15,
00077E61DC,2015-01-09,F,MCW,2,2015-05-18,129,TW,21,21,19,23,22,23,
00077E756E,2015-01-05,F,MCW,2,2015-05-18,133,TW,26,28,27,27,27,26,
00077E76BC,2015-01-03,M,MCW,2,2015-05-18,135,TW,21,22,22,28,26,24,
00077E7829,2015-01-05,M,MCW,2,2015-05-18,133,TW,27,26,25,25,26,27,
00077E792E,2015-01-03,M,MCW,2,2015-05-18,135,TW,15,16,15,19,17,17,
00077E7D20,2015-01-05,M,MCW,2,2015-05-18,133,TW,16,15,15,15,13,14,
00077E8277,2015-01-03,F,MCW,2,2015-05-18,135,TW,16,16,19,24,21,20,
00077E82B3,2015-01-05,M,MCW,2,2015-05-18,133,TW,18,16,15,26,25,23,
00077E9DB8,2015-01-05,F,MCW,2,2015-05-18,133,TW,20,19,19,13,13,14,
00077EA10B,2015-01-05,M,MCW,2,2015-05-18,133,TW,19,21,20,23,22,24,
00077EA4FA,2015-01-06,M,MCW,2,2015-05-18,132,TW,19,18,18,21,22,20,
00077EAA14,2015-01-05,M,MCW,2,2015-05-18,133,TW,14,12,13,16,16,16,
00077EAAFE,2015-01-05,F,MCW,2,2015-05-18,133,TW,19,19,20,24,23,23,
00077EAB93,2015-01-06,F,MCW,2,2015-05-18,132,TW,15,14,13,18,17,17,
00077EAC71,2015-01-08,F,MCW,2,2015-05-18,130,TW,15,16,15,17,17,17,
00077E6204,2015-01-09,M,MCW,2,2015-06-04,146,TW,23,21,23,26,25,22,
00077EA9DA,2015-01-06,M,MCW,2,2015-06-04,149,TW,13,14,15,17,17,17,
00077EACFA,2015-01-09,M,MCW,2,2015-06-04,146,TW,18,18,18,21,21,20,
00077EAD48,2015-01-11,M,MCW,2,2015-06-04,144,TW,19,21,20,18,19,19,
00077EAF31,2015-01-09,M,MCW,2,2015-06-04,146,TW,20,19,22,22,20,21,
00077EAF84,2015-01-09,M,MCW,2,2015-06-04,146,TW,18,18,17,18,17,15,
00077E79D8,2015-04-10,M,UTHSC,2,2015-06-05,56,TW,13,12,12,12,12,12,
00077E8163,2015-04-10,F,UTHSC,2,2015-06-05,56,TW,10,10,11,11,12,10,
00077E829F,2015-04-10,M,UTHSC,2,2015-06-05,56,TW,19,18,18,18,19,19,
00077E9A30,2015-04-10,M,UTHSC,2,2015-06-05,56,TW,14,14,14,10,10,10,
00077EAF7D,2015-04-10,F,UTHSC,2,2015-06-05,56,TW,10,10,10,10,10,10,
00077E66E0,2015-04-20,M,UTHSC,2,2015-06-09,50,TW,23,24,24,21,23,19,
00077E7673,2015-04-10,F,UTHSC,2,2015-06-09,60,TW,15,16,15,15,16,15,
00077E76DA,2015-04-10,F,UTHSC,2,2015-06-09,60,TW,11,11,10,11,10,11,
00077E7731,2015-04-10,M,UTHSC,2,2015-06-09,60,TW,14,12,12,13,13,12,
00077E77AB,2015-04-20,M,UTHSC,2,2015-06-09,50,TW,21,19,18,23,22,20,
00077E7880,2015-04-10,F,UTHSC,2,2015-06-09,60,TW,9,9,9,10,9,9,
00077E78A1,2015-04-10,M,UTHSC,2,2015-06-09,60,TW,12,11,10,11,12,10,
00077E81B5,2015-04-10,M,UTHSC,2,2015-06-09,60,TW,11,10,10,10,10,10,
00077E8DFA,2015-04-10,F,UTHSC,2,2015-06-09,60,TW,13,10,11,13,10,12,
00077E8FF8,2015-04-10,M,UTHSC,2,2015-06-09,60,TW,11,10,10,10,10,9,
